Customer ID,churn_probability,risk_segment,Frequency,Monetary,Recency,Customer Lifespan,Average Purchase Interval,Median Purchase Interval
12346.0,0.5996865081839687,MEDIUM,12,77556.46,234,400,35.90909090909091,7.0
12347.0,0.17435959376904972,LOW,6,3402.3900000000003,38,274,54.4,53.0
12348.0,0.3696234076411411,LOW,4,1709.4,157,189,63.0,70.0
12349.0,0.4100240856724483,MEDIUM,3,2671.1400000000003,316,181,90.0,90.0
12352.0,0.3329430088932158,LOW,7,1905.61,171,130,21.5,14.5
12353.0,0.6177028406383976,MEDIUM,2,406.76,113,204,204.0,204.0
12355.0,0.756481365104065,HIGH,2,947.61,123,353,353.0,353.0
12356.0,0.24029522122655264,LOW,5,6313.380000000001,154,179,44.25,42.5
12357.0,0.6088944203310966,MEDIUM,2,12079.990000000002,297,0,0.0,0.0
12358.0,0.48242699737986694,MEDIUM,4,3203.87,59,581,193.0,181.0
12359.0,0.1396572805969172,LOW,9,6059.09,98,544,67.75,86.0
12360.0,0.2519157512386832,LOW,7,3209.11,21,543,90.0,74.5
12361.0,0.5761531769252172,MEDIUM,4,511.25,196,394,131.0,116.0
12362.0,0.3517098694976502,LOW,5,1877.35,29,618,154.25,69.5
12363.0,0.4343476379812531,MEDIUM,2,552.0,18,132,132.0,132.0
12365.0,0.7571961418409201,HIGH,2,641.3799999999999,200,0,0.0,0.0
12369.0,0.6104115776317894,MEDIUM,3,1791.15,322,228,113.5,113.5
12370.0,0.4413021149366248,MEDIUM,6,3577.28,183,394,78.6,44.0
12371.0,0.5284825896247587,MEDIUM,3,2179.42,318,235,117.5,117.5
12372.0,0.3503622629466688,LOW,2,914.9199999999998,121,83,83.0,83.0
12373.0,0.6932274245974199,MEDIUM,3,1127.65,220,362,180.5,180.5
12374.0,0.47520728885133917,MEDIUM,3,2246.29,330,166,83.0,83.0
12376.0,0.7404614736915839,HIGH,2,503.15,298,28,28.0,28.0
12377.0,0.596373684184994,MEDIUM,4,3426.32,224,274,91.0,39.0
12378.0,0.8764962779507269,HIGH,2,5416.32,38,432,432.0,432.0
12379.0,0.649255558494238,MEDIUM,3,1227.8200000000002,79,364,182.0,182.0
12380.0,0.1781058021792086,LOW,8,7559.040000000001,94,476,67.85714285714286,16.0
12383.0,0.32433384376808133,LOW,5,1850.56,93,167,41.25,42.5
12386.0,0.7253993650230355,HIGH,2,401.9,246,29,29.0,29.0
12388.0,0.37371222297192713,LOW,6,2788.79,57,434,86.2,118.0
12389.0,0.6336503649769178,MEDIUM,3,1433.33,311,253,126.0,126.0
12391.0,0.6606823027230001,MEDIUM,5,2285.1800000000003,373,198,49.5,32.5
12393.0,0.3141424959379013,LOW,5,1877.95,154,182,45.25,47.5
12395.0,0.2172329712605673,LOW,11,3602.11,21,490,48.6,46.0
12399.0,0.3364546516735448,LOW,7,1962.3000000000004,28,525,87.33333333333333,94.0
12402.0,0.6223488059616844,MEDIUM,6,1256.9000000000003,232,347,69.0,69.0
12406.0,0.47618169982443814,MEDIUM,4,4596.31,92,513,170.66666666666666,196.0
12407.0,0.2747658775745244,LOW,4,1407.36,43,130,42.66666666666666,28.0
12408.0,0.183361477058248,LOW,7,3586.2700000000004,7,399,66.16666666666667,70.5
12409.0,0.3005064486174678,LOW,5,18553.7,91,382,95.25,64.0
12410.0,0.6847304117334172,MEDIUM,3,1013.71,217,193,96.5,96.5
12412.0,0.30933119979940576,LOW,5,2260.790000000001,46,401,100.0,68.5
12413.0,0.5275049040719264,MEDIUM,3,805.25,145,166,82.5,82.5
12414.0,0.5971429350143215,MEDIUM,6,952.41,126,246,49.0,10.0
12415.0,0.09564637621443754,LOW,22,121631.72,8,428,19.952380952380956,16.0
12417.0,0.08661513013837498,LOW,18,5964.83,15,626,36.41176470588236,37.0
12418.0,0.664873547757404,MEDIUM,4,2021.2,21,517,172.0,162.0
12419.0,0.7404614736915839,HIGH,2,503.01,294,27,27.0,27.0
12421.0,0.34046278894833554,LOW,5,920.12,23,390,97.25,93.0
12422.0,0.08312613202294641,LOW,17,5231.800000000001,4,625,38.5,25.5
12423.0,0.15600386137471814,LOW,9,2413.75,9,364,45.0,39.0
12424.0,0.4048551828311707,MEDIUM,4,3340.03,71,385,128.33333333333334,125.0
12426.0,0.9114082879873728,HIGH,2,1345.21,103,468,468.0,468.0
12428.0,0.13301016104285368,LOW,8,7548.120000000001,29,163,23.0,11.0
12429.0,0.2131247208314702,LOW,7,5298.889999999999,81,373,62.0,65.0
12431.0,0.07948117346968546,LOW,23,8819.34,28,574,25.727272727272727,16.5
12432.0,0.4950679218653623,MEDIUM,3,4016.66,79,1,0.5,0.5
12433.0,0.15302191028820578,LOW,6,9813.5,0,385,76.6,27.0
12434.0,0.6002278404941047,MEDIUM,2,583.54,169,120,120.0,120.0
12435.0,0.4652035069887795,MEDIUM,5,10075.030000000002,176,469,117.0,114.0
12437.0,0.05185517354813928,LOW,32,10543.4,7,638,20.096774193548388,20.0
12439.0,0.9167565401116653,HIGH,2,1142.88,591,43,43.0,43.0
12440.0,0.869614266764301,HIGH,2,859.1999999999999,371,255,255.0,255.0
12444.0,0.1711170871760468,LOW,2,2627.2699999999995,30,49,49.0,49.0
12449.0,0.23597077197304747,LOW,5,3493.18,0,346,86.25,47.0
12450.0,0.4461900150180173,MEDIUM,5,688.2,65,318,79.0,37.0
12451.0,0.2731672411770295,LOW,5,8942.18,127,311,77.5,86.0
12454.0,0.7960669205271923,HIGH,4,13151.44,304,25,7.666666666666667,3.0
12455.0,0.16614168129396562,LOW,9,5589.45,36,593,73.625,71.5
12456.0,0.36629548916054966,LOW,2,2265.4,40,123,123.0,123.0
12457.0,0.45910798503678923,MEDIUM,4,1699.9299999999996,142,201,66.66666666666667,4.0
12458.0,0.5711317196948942,MEDIUM,3,1272.01,193,203,101.0,101.0
12461.0,0.3476562513069811,LOW,2,826.88,3,60,60.0,60.0
12463.0,0.38149329981573554,LOW,3,985.79,84,66,32.5,32.5
12464.0,0.3349849511700468,LOW,6,780.55,15,203,40.2,43.0
12468.0,0.376404905503427,LOW,5,3670.74,96,495,123.25,105.5
12469.0,0.9234241409228919,HIGH,2,3070.54,431,14,14.0,14.0
12471.0,0.055256950019134006,LOW,68,31210.54,16,625,9.08955223880597,3.0
12472.0,0.09401638321172569,LOW,17,14604.78,47,587,35.9375,37.5
12473.0,0.26625832861052906,LOW,2,1175.75,23,77,77.0,77.0
12474.0,0.06452739959611105,LOW,26,9410.72,7,568,22.2,15.0
12476.0,0.08974287021133809,LOW,18,10459.16,50,360,20.88235294117647,13.0
12477.0,0.33291613654346675,LOW,6,15890.66,9,522,104.2,98.0
12480.0,0.185691534961349,LOW,6,4328.17,52,364,72.4,68.0
12481.0,0.12313647956278678,LOW,13,10690.95,88,427,35.25,21.0
12482.0,0.9736530312927714,HIGH,29,23691.4,485,77,2.642857142857143,0.0
12483.0,0.07908116090539949,LOW,17,4236.259999999999,7,578,35.6875,26.0
12484.0,0.17899148992912875,LOW,10,5485.43,9,580,64.11111111111111,30.0
12490.0,0.10325902609272626,LOW,17,7958.299999999999,2,645,39.9375,40.0
12492.0,0.5591683090906628,MEDIUM,2,578.39,14,297,297.0,297.0
12493.0,0.5501537723268887,MEDIUM,2,433.74,74,31,31.0,31.0
12494.0,0.3331755691398796,LOW,7,1438.03,70,414,68.33333333333333,53.5
12496.0,0.9057533236802909,HIGH,2,45.34,529,0,0.0,0.0
12497.0,0.5382670541656026,MEDIUM,2,5205.400000000001,309,244,244.0,244.0
12500.0,0.14868920243576272,LOW,14,3471.23,15,566,43.23076923076923,25.0
12502.0,0.18831557596782916,LOW,5,3723.87,4,214,53.25,45.5
12504.0,0.6231337172816318,MEDIUM,2,297.00000000000006,326,179,179.0,179.0
12507.0,0.6324630019413786,MEDIUM,4,1844.06,43,450,150.0,143.0
12510.0,0.18110478158823506,LOW,9,5178.02,51,592,73.5,43.5
12514.0,0.8524634794384631,HIGH,2,1597.7600000000002,176,374,374.0,374.0
12516.0,0.6690481400717463,MEDIUM,3,1919.76,89,418,209.0,209.0
12517.0,0.23379546765423578,LOW,2,1521.45,35,63,63.0,63.0
12520.0,0.2596603574926884,LOW,4,2045.8500000000004,51,131,43.333333333333336,55.0
12523.0,0.05332440529845678,LOW,19,3580.33,16,624,34.111111111111114,28.0
12524.0,0.10897251068888011,LOW,15,9762.87,71,507,35.857142857142854,29.5
12525.0,0.8533206897909248,HIGH,3,973.73,407,149,74.0,74.0
12527.0,0.5907198553163613,MEDIUM,4,671.72,203,234,77.33333333333333,34.0
12528.0,0.25964678032080707,LOW,4,1287.37,23,198,66.0,36.0
12530.0,0.19260626940774012,LOW,8,3318.63,32,518,73.57142857142857,78.0
12533.0,0.8830250093838593,HIGH,2,1367.89,536,110,110.0,110.0
12535.0,0.45201448139224243,MEDIUM,2,716.35,0,94,94.0,94.0
12539.0,0.36627595374236904,LOW,6,10164.09,171,454,90.4,54.0
12540.0,0.05185517354813928,LOW,27,18101.11,1,639,24.07692307692308,21.5
12541.0,0.44583774854471325,MEDIUM,2,536.14,82,107,107.0,107.0
12542.0,0.863933927263713,HIGH,2,481.88,393,156,156.0,156.0
12547.0,0.6180215376239463,MEDIUM,3,383.5799999999999,106,302,150.5,150.5
12549.0,0.8803925973647997,HIGH,6,1575.6799999999998,484,121,24.0,1.0
12553.0,0.11592298418573037,LOW,9,3336.06,19,313,38.625,40.5
12557.0,0.205901338239328,LOW,7,15106.14,67,564,93.5,86.5
12559.0,0.6019807476853591,MEDIUM,2,561.7099999999999,219,8,8.0,8.0
12560.0,0.21010454676265092,LOW,2,1436.3100000000002,21,30,30.0,30.0
12562.0,0.18071305015890846,LOW,5,2790.41,35,308,76.75,49.0
12567.0,0.13667778497333408,LOW,14,10216.18,5,570,43.38461538461539,40.0
12569.0,0.10717988317796333,LOW,15,2167.6800000000003,1,160,10.928571428571429,9.0
12573.0,0.5562298239255855,MEDIUM,5,717.4100000000002,136,237,58.75,40.0
12575.0,0.8908491592965205,HIGH,2,622.8199999999999,366,69,69.0,69.0
12576.0,0.35857510366691325,LOW,7,1763.4400000000005,4,430,71.16666666666667,67.5
12577.0,0.5058444205170276,MEDIUM,6,1186.39,268,376,75.2,22.0
12578.0,0.5758932700190792,MEDIUM,3,3456.6000000000004,239,113,56.0,56.0
12580.0,0.7213919145609621,HIGH,2,1052.9,155,329,329.0,329.0
12582.0,0.49392660227775986,MEDIUM,4,1980.4,147,338,112.66666666666669,134.0
12583.0,0.053647309977183276,LOW,21,10542.41,15,627,30.9,31.0
12584.0,0.3586795489057722,LOW,4,782.5899999999999,36,153,50.333333333333336,48.0
12585.0,0.4880559954079689,MEDIUM,2,2040.1,143,117,117.0,117.0
12586.0,0.5849903904141494,MEDIUM,3,1865.73,283,348,174.0,174.0
12588.0,0.6090060949879076,MEDIUM,3,743.8800000000001,308,198,99.0,99.0
12589.0,0.287201901006218,LOW,7,4180.48,53,544,90.66666666666669,21.0
12590.0,0.513685809957114,MEDIUM,2,9864.26,120,0,0.0,0.0
12591.0,0.6756055540874003,MEDIUM,3,1338.95,226,91,45.5,45.5
12592.0,0.42579687152954687,MEDIUM,5,2582.66,1,427,106.5,60.5
12593.0,0.43585538900556264,MEDIUM,3,418.0999999999999,17,110,55.0,55.0
12594.0,0.15097425196410721,LOW,13,4281.79,30,525,43.333333333333336,39.5
12597.0,0.32850233358320025,LOW,2,1428.81,92,85,85.0,85.0
12598.0,0.20405127772802745,LOW,7,3095.3900000000003,70,487,80.66666666666667,61.0
12599.0,0.2930523071285226,LOW,12,2121.18,35,451,40.36363636363637,28.0
12600.0,0.05539817546747207,LOW,19,4304.9400000000005,21,619,33.94444444444444,31.0
12601.0,0.4199986850219458,MEDIUM,6,681.26,98,214,42.4,49.0
12605.0,0.6592335672614894,MEDIUM,4,1232.95,285,81,27.0,35.0
12609.0,0.19378166270145372,LOW,8,3109.74,95,533,75.85714285714286,62.0
12610.0,0.23852399355282053,LOW,2,1256.25,15,19,19.0,19.0
12613.0,0.16570225763175492,LOW,9,4935.51,106,527,65.625,65.5
12615.0,0.44288652718690275,MEDIUM,5,4084.53,77,462,115.5,108.5
12616.0,0.5352036135039833,MEDIUM,3,1131.1,4,293,146.5,146.5
12619.0,0.37060651789174615,LOW,6,2227.6,25,444,88.6,32.0
12621.0,0.07911274252324844,LOW,30,20816.57,9,568,19.06896551724138,17.0
12623.0,0.4360559333033568,MEDIUM,7,3747.84,185,420,69.66666666666667,51.5
12624.0,0.42215513605983884,MEDIUM,2,641.13,15,71,71.0,71.0
12625.0,0.47025624690722284,MEDIUM,4,5164.879999999999,120,384,127.66666666666669,107.0
12626.0,0.17668604730945392,LOW,6,4774.0,21,214,42.2,14.0
12627.0,0.11843909357765899,LOW,5,2727.83,5,44,10.5,11.0
12629.0,0.6390042144617821,MEDIUM,2,1558.2199999999998,294,37,37.0,37.0
12631.0,0.39198637916559953,LOW,5,2841.07,365,237,59.0,70.5
12632.0,0.8835464693887447,HIGH,2,804.88,429,44,44.0,44.0
12633.0,0.16771614167381643,LOW,6,5462.93,38,395,78.6,91.0
12634.0,0.7150240901385291,HIGH,2,490.0,444,12,12.0,12.0
12635.0,0.5803912733352543,MEDIUM,3,1924.87,63,301,150.5,150.5
12637.0,0.17603186859654568,LOW,11,7939.809999999999,0,451,44.7,48.5
12639.0,0.6899625260783145,MEDIUM,3,1312.37,147,389,194.5,194.5
12643.0,0.1915032835858937,LOW,12,8304.82,37,482,43.36363636363637,37.0
12644.0,0.7067595860205955,HIGH,4,1918.49,38,564,188.0,239.0
12645.0,0.3112340030712318,LOW,7,3074.98,18,559,92.5,94.0
12647.0,0.08343920916048038,LOW,33,16119.44,35,568,17.25,14.5
12648.0,0.5832772813524213,MEDIUM,4,1112.0,63,546,182.0,203.0
12649.0,0.689614589408561,MEDIUM,8,2294.65,16,588,83.71428571428571,105.0
12651.0,0.762065969318575,HIGH,4,377.75,243,130,43.333333333333336,44.0
12652.0,0.6578876110854273,MEDIUM,2,1017.03,240,102,102.0,102.0
12653.0,0.5123073933874485,MEDIUM,3,4160.83,57,378,188.5,188.5
12654.0,0.5181127725722493,MEDIUM,3,337.75,106,97,48.5,48.5
